title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
introduction to automata theory languages and computation,2,"Introduction to automata theory, languages and computation",W2002089154; W4302339081,"1980, 1981",7
invariants of quantum programs characterisations and generation,2,Invariants of quantum programs: characterisations and generation,W2562491126; W3006960967,"2016, 2017",7
kickstarter,2,KickStarter,W2604668004; W4246025410,2017,7
lacasa lightweight affinity and object capabilities in scala,2,LaCasa: lightweight affinity and object capabilities in Scala,W2537677062; W3018145043,2016,7
language support for fast and reliable message based communication in singularity os,2,Language support for fast and reliable message-based communication in singularity OS,W2137186143; W4247696553,2006,7
lasp,2,Lasp,W2078575444; W2085335712,2015,7
learning representations by back propagating errors,2,Learning representations by back-propagating errors,W1498436455; W4235765578,"1986, 2002",7
lectures on the coupling method,2,Lectures on the Coupling Method,W1535793628; W4214593142,"1992, 1994",7
leveled fully homomorphic encryption without bootstrapping,2,(Leveled) fully homomorphic encryption without bootstrapping,W2152926062; W2177209050,"2012, 2014",7
ll,2,LL(*),W2072750798; W4248027902,2011,7
logic programming in a fragment of intuitionistic linear logic,2,Logic Programming in a Fragment of Intuitionistic Linear Logic,W2106458801; W4253630760,"1994, 2002",7
maintaining views incrementally,2,Maintaining views incrementally,W2012670464; W4230201548,1993,7
makalu fast recoverable allocation of non volatile memory,2,Makalu: fast recoverable allocation of non-volatile memory,W2538785949; W4247726910,2016,7
managing update conflicts in bayou a weakly connected replicated storage system,2,"Managing update conflicts in Bayou, a weakly connected replicated storage system",W1602193077; W2117260615,1995,7
memento mori dynamic allocation site based optimizations,2,Memento mori: dynamic allocation-site-based optimizations,W1974715526; W3022703667,2015,7
mibench a free commercially representative embedded benchmark suite,2,"MiBench: A free, commercially representative embedded benchmark suite",W1686420892; W4232751114,"2001, 2005",7
mixed powerdomains for probability and nondeterminism,2,Mixed powerdomains for probability and nondeterminism,W2560355278; W3105658135,"2016, 2017",7
model checking for symbolic heap separation logic with inductive predicates,2,Model checking for symbolic-heap separation logic with inductive predicates,W2284409231; W3137061681,2016,7
occurrence typing modulo theories,2,Occurrence typing modulo theories,W2273111921; W2949550571,2016,7
ogre and pythia an invariance proof method for weak consistency models,2,Ogre and Pythia: an invariance proof method for weak consistency models,W2562986368; W3110100493,"2016, 2017",7
on probabilistic term rewriting,2,On Probabilistic Term Rewriting,W2788405769; W2982085742,"2018, 2019",7
on reducing linearizability to state reachability,2,On Reducing Linearizability to State Reachability,W1717387230; W2953158016,2015,7
on understanding data abstraction revisited,2,"On understanding data abstraction, revisited",W1999662942; W4245021137,2009,7
optimal neural program synthesis from multimodal specifications,2,Optimal Neural Program Synthesis from Multimodal Specifications,W3092838946; W3214514975,"2020, 2021",7
overcode,2,OverCode,W2020638820; W2076771354,"2014, 2015",7
pattern matching without k,2,Pattern matching without K,W2158830522; W3045781805,2014,7
polyadic approximations fibrations and intersection types,2,"Polyadic approximations, fibrations and intersection types",W2779912584; W2898747740,"2017, 2018",7
position paper,2,Position paper,W2103408719; W2954419750,"2012, 2019",7
practical smt based type error localization,2,Practical SMT-based type error localization,W2026790447; W2949120661,2015,7
programming from specifications,2,Programming from specifications,W1552647623; W2936157456,"1990, 1991",7
programming up to congruence,2,Programming up to Congruence,W2104815907; W3120788393,"2014, 2015",7
proofs that count,2,Proofs that count,W2014175609; W4250583308,2014,7
pushdown flow analysis with abstract garbage collection,2,Pushdown flow analysis with abstract garbage collection,W1984188064; W3098054590,2014,7
pycket a tracing jit for a functional language,2,Pycket: a tracing JIT for a functional language,W2097013380; W4243257852,2015,7
quantified class constraints,2,Quantified class constraints,W2751718667; W3128717498,2017,7
race directed scheduling of concurrent programs,2,Race directed scheduling of concurrent programs,W2099390117; W3084921114,2014,7
reactive probabilistic programming,2,Reactive probabilistic programming,W2969935473; W3034025806,2020,7
reasoning about a machine with local capabilities,2,Reasoning About a Machine with Local Capabilities,W2796499075; W2995538315,"2018, 2019",7
recursive markov chains stochastic grammars and monotone systems of nonlinear equations,2,"Recursive Markov Chains, Stochastic Grammars, and Monotone Systems of Nonlinear Equations",W1715173658; W2005059149,"2005, 2009",7
refactoring using type constraints,2,Refactoring Using Type Constraints,W1847665756; W2000952465,"2007, 2011",7
refunctionalization at work,2,Refunctionalization at Work,W2105692950; W2178095747,"2006, 2009",7
reim and amp reiminfer,2,Reim &amp; ReImInfer,W2118004641; W4249302518,2012,7
revisiting iso recursive subtyping,2,Revisiting iso-recursive subtyping,W3106544059; W4287832609,"2020, 2022",7
safe memory reclamation for dynamic lock free objects using atomic reads and writes,2,Safe memory reclamation for dynamic lock-free objects using atomic reads and writes,W2127976210; W4252461621,2002,7
safe nondeterminism in a deterministic by default parallel language,2,Safe nondeterminism in a deterministic-by-default parallel language,W2157179926; W4240363966,2011,7
satisfiability of word equations with constants is in pspace,2,Satisfiability of word equations with constants is in PSPACE,W2028685566; W2153128123,"2003, 2004",7
scalable parallel programming with cuda,2,Scalable parallel programming with CUDA,W2028499920; W3138798301,2008,7
scribble,2,Scribble,W2049946917; W4233661059,2009,7
self adjusting computation,2,Self-adjusting computation,W2028423097; W2097284499,"2004, 2009",7
shortcut fusion for accumulating parameters and amp zip like functions,2,Shortcut fusion for accumulating parameters &amp; zip-like functions,W2159227002; W3107822754,2002,7
simulating physics with computers,2,Simulating physics with computers,W2179731956; W4242275969,"1982, 2018",7
slicing probabilistic programs,2,Slicing probabilistic programs,W2066486177; W4240949783,2014,7
smten with satisfiability based search,2,Smten with satisfiability-based search,W2166708428; W3010081385,2014,7
solving reflexive domain equations in a category of complete metric spaces,2,Solving reflexive domain equations in a category of complete metric spaces,W1529384059; W1995902462,"1988, 1989",7
spanner,2,Spanner,W2612488340; W3137759927,"2013, 2017",7
specifying and verifying sparse matrix codes,2,Specifying and verifying sparse matrix codes,W2130586555; W4233661064,2010,7
static analysis of event driven node js javascript applications,2,Static analysis of event-driven Node.js JavaScript applications,W1989147905; W3003638206,2015,7
symbolic bounds analysis of pointers array indices and accessed memory regions,2,"Symbolic bounds analysis of pointers, array indices, and accessed memory regions",W2107742417; W3092545530,"2000, 2005",7
symbolic optimization with smt solvers,2,Symbolic optimization with SMT solvers,W2157056800; W3029402327,2014,7
synthesis of reactive 1 designs,2,Synthesis of Reactive(1) designs,W2041701185; W3023554972,"2005, 2011",7
taming wildcards in java s type system,2,Taming wildcards in Java's type system,W1978680769; W4244046502,2011,7
termination and non termination specification inference,2,Termination and non-termination specification inference,W2085428535; W4237325055,2015,7
terra,2,Terra,W2132598718; W4241563291,2013,7
the call by need lambda calculus,2,The call-by-need lambda calculus,W2062838731; W2112022010,"1997, 1998",7
the tree width of auxiliary storage,2,The tree width of auxiliary storage,W2165546792; W4214848047,2011,7
total parser combinators,2,Total parser combinators,W2049814260; W4247830816,2010,7
toward automatic verification of quantum programs,2,Toward automatic verification of quantum programs,W2887991122; W3105304321,"2016, 2018",7
toward compositional verification of interruptible os kernels and device drivers,2,Toward compositional verification of interruptible OS kernels and device drivers,W2412857152; W2781213257,"2016, 2017",7
trace abstraction modulo probability,2,Trace abstraction modulo probability,W2899277098; W2952749249,"2018, 2019",7
tracking pointers with path and context sensitivity for bug detection in c programs,2,Tracking pointers with path and context sensitivity for bug detection in C programs,W2122751766; W4231704316,2003,7
translating imperative code to mapreduce,2,Translating imperative code to MapReduce,W2040943118; W4233804642,2014,7
