title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
grading student programs using assyst,2,Grading student programs using ASSYST,W1971973232; W3005371628,1997,4
hardware synthesis from guarded atomic actions with performance specifications,2,Hardware synthesis from guarded atomic actions with performance specifications,W2144931012; W4250169475,2005,4
hochc a refutationally complete and semantically invariant system of higher order logic modulo theories,2,HoCHC: A Refutationally Complete and Semantically Invariant System of Higher-order Logic Modulo Theories,W2933925126; W2964409640,2019,4
how to print floating point numbers accurately,2,How to print floating-point numbers accurately,W1992823221; W4243124072,"1990, 2004",4
i ephemerons i,2,<i>Ephemerons</i>,W2087960970; W4238745398,1997,4
identifying reasons for software changes using historic databases,2,Identifying reasons for software changes using historic databases,W2164519300; W3145932680,2000,4
igor a system for program debugging via reversible execution,2,IGOR: a system for program debugging via reversible execution,W2082498963; W4252135746,1988,4
ill typed programs don t evaluate,2,Ill-Typed Programs Don't Evaluate,W4384392978; W4390603371,"2023, 2024",4
implementation of functional languages,2,Implementation of Functional Languages,W2488050585; W4298474179,"1997, 1999",4
improving cache performance in dynamic applications through data and computation reorganization at run time,2,Improving cache performance in dynamic applications through data and computation reorganization at run time,W2028914463; W3022352883,1999,4
improving data cache performance by pre executing instructions under a cache miss,2,Improving data cache performance by pre-executing instructions under a cache miss,W2019674193; W4232096869,"1997, 2014",4
incrementalized pointer and escape analysis,2,Incrementalized pointer and escape analysis,W2105256796; W4205439553,2001,4
indentation sensitive parsing for parsec,2,Indentation-sensitive parsing for Parsec,W2115538819; W4254962740,2014,4
indexed induction recursion,2,Indexed Induction-Recursion,W1593841126; W2132221175,"2001, 2005",4
inference of finite automata using homing sequences,2,Inference of finite automata using homing sequences,W2080028974; W2140606869,"1989, 1993",4
inferring termination conditions for logic programs using backwards analysis,2,Inferring Termination Conditions for Logic Programs Using Backwards Analysis,W1496121453; W2148363954,"2001, 2005",4
instances of computational effects an algebraic perspective,2,Instances of Computational Effects: An Algebraic Perspective,W2016718260; W4235724312,2013,4
integer and combinatorial optimization,2,Integer and Combinatorial Optimization,W1968143987; W2595833503,"1989, 1990",4
interface automata,2,Interface automata,W2293287097; W4244728546,2001,4
international symposium on programming,2,International Symposium on Programming,W2476374105; W4247885407,"1982, 1984",4
introduction to high performance scientific computing,2,Introduction to High Performance Scientific Computing,W4298097438; W632194658,"2015, 2016",4
jedd,2,Jedd,W2136503680; W4241344291,2004,4
lambda dropping transforming recursive equations into programs with block structure,2,Lambda-dropping: transforming recursive equations into programs with block structure,W2077853727; W4234297566,"1999, 2000",4
language modularity with the mps language workbench,2,Language modularity with the MPS language workbench,W2167469483; W3144910326,2012,4
large margin classification using the perceptron algorithm,2,Large margin classification using the perceptron algorithm,W1979711143; W4249572517,"1998, 1999",4
lattice surgery with a twist simplifying clifford gates of surface codes,2,Lattice Surgery with a Twist: Simplifying Clifford Gates of Surface Codes,W2753032830; W3099545137,2018,4
learning concepts definable in first order logic with counting,2,Learning Concepts Definable in First-Order Logic with Counting,W2965343728; W3103193224,2019,4
lifting propositional interpolants to the word level,2,Lifting Propositional Interpolants to the Word−Level,W2098467159; W4242333425,2007,4
light linear logic,2,Light Linear Logic,W1969548989; W2177992386,"1995, 1998",4
lightweight generics in embedded systems through static analysis,2,Lightweight generics in embedded systems through static analysis,W2142019528; W3161720777,2012,4
linearity sharing and state a fully abstract game semantics for idealized algol with active expressions,2,"Linearity, Sharing and State: A Fully Abstract Game Semantics for Idealized Algol with Active Expressions",W1977216954; W3169946360,"1996, 1997",4
ll sc and atomic copy constant time space efficient implementations using only pointer width cas,2,"LL/SC and Atomic Copy: Constant Time, Space Efficient Implementations Using Only Pointer-Width CAS",W2990923843; W3097570329,2019,4
lolliproc,2,Lolliproc,W2070112643; W4234108538,2010,4
lots o ticks,2,Lots o'Ticks,W2099767549; W4238735223,2001,4
magicfuzzer scalable deadlock detection for large scale applications,2,MagicFuzzer: scalable deadlock detection for large-scale applications,W2104831091; W3151416809,2012,4
maintenance of materialized views problems techniques and applications,2,"Maintenance of Materialized Views: Problems, Techniques, and Applications",W1943411325; W253264081,"1995, 1999",4
making smalltalk a database system,2,Making smalltalk a database system,W1977101058; W2998952999,1984,4
markov chain monte carlo convergence diagnostics a comparative review,2,Markov Chain Monte Carlo Convergence Diagnostics: A Comparative Review,W2102862543; W4256665558,1996,4
matching logic,2,Matching logic,W2142762894; W3037272170,"2011, 2017",4
mathematical logic,2,Mathematical logic,W2977904728; W4237721941,"1967, 1994",4
maté,2,Maté,W2124705135; W4255895675,2002,4
meaningful change detection in structured data,2,Meaningful change detection in structured data,W2143275903; W4245525132,1997,4
mechanising blockchain consensus,2,Mechanising blockchain consensus,W2774513577; W4245104683,"2017, 2018",4
memory dependence prediction using store sets,2,Memory dependence prediction using store sets,W2064909421; W4210823068,1998,4
minimum cost loop nests for contraction of a sparse tensor with a tensor network,2,Minimum Cost Loop Nests for Contraction of a Sparse Tensor with a Tensor Network,W4384263491; W4399344346,"2023, 2024",4
mnist c a robustness benchmark for computer vision,2,MNIST-C: A Robustness Benchmark for Computer Vision,W2948140748; W4301599248,2019,4
model representation over finite and infinite signatures,2,Model Representation over Finite and Infinite Signatures,W1587803076; W2040182340,"2006, 2007",4
modern datalog engines,2,Modern Datalog Engines,W4285157437; W4293208303,2022,4
multi return function call,2,Multi-return function call,W1964116669; W2144700864,"2004, 2006",4
mutually enhancing test generation and specification inference,2,Mutually Enhancing Test Generation and Specification Inference,W1533857697; W2584780271,2004,4
new cache designs for thwarting software cache based side channel attacks,2,New cache designs for thwarting software cache-based side channel attacks,W2166293920; W4241773843,2007,4
nltk,2,NLTK,W2143017621; W4245267204,"2002, 2004",4
non null references by default in java alleviating the nullity annotation burden,2,Non-null references by default in java: alleviating the nullity annotation burden,W1874950958; W4241904514,2007,4
numerical optimization,2,Numerical optimization,W3029645440; W4301014524,"2006, 2021",4
on barron and strachey s cartesian product function,2,On Barron and Strachey's Cartesian Product Function,W2724973355; W3002822525,2007,4
on bounding problems of quantitative information flow,2,On bounding problems of quantitative information flow,W1484057600; W2947969153,"2010, 2011",4
on notions of regularity for data languages,2,On notions of regularity for data languages,W2163310156; W3005147078,"2007, 2009",4
on polymorphic sessions and functions,2,On Polymorphic Sessions and Functions,W2797067244; W3172689801,"2018, 2021",4
on stack replacement distilled,2,"On-stack replacement, distilled",W2798432239; W3183480845,2018,4
on the analysis of interacting pushdown systems,2,On the analysis of interacting pushdown systems,W2038216124; W4247858957,2007,4
on the complexity of putinar vasilescu s positivstellensatz,2,On the complexity of Putinar–Vasilescu's Positivstellensatz,W3157758976; W4220774658,"2021, 2022",4
on the learnability of disjunctive normal form formulas,2,On the Learnability of Disjunctive Normal Form Formulas,W2033049828; W4238857046,1995,4
on the logical complexity of cyclic arithmetic,2,On the logical complexity of cyclic arithmetic,W2884490461; W3003688551,2020,4
one unambiguous regular languages,2,One-Unambiguous Regular Languages,W2057841333; W2998389348,1998,4
optimathsat a tool for optimization modulo theories,2,OptiMathSAT: A Tool for Optimization Modulo Theories,W1022177737; W3021334088,"2015, 2018",4
optimistic evaluation,2,Optimistic evaluation,W2135037829; W4248041368,2003,4
optimizing for parallelism and data locality,2,Optimizing for parallelism and data locality,W2077960035; W4241752870,"1992, 2014",4
